time,open,high,low,close,Plot,Plot,Chande MO,Plot,CHOP,CCI,Smoothing Line,CRSI,Plot,Correlation,Plot
2023-08-03T17:30:00-04:00,1.09474,1.09482,1.09461,1.09479,1.094379657,1.094702637,22.84644195,1,56.65831993,10.18538873,-18.65806971,63.9766315,-0.046316645,0.514118274,1.2672E+12
2023-08-03T17:45:00-04:00,1.09479,1.09497,1.09435,1.09489,1.094379657,1.094702637,31.32075472,1,63.73326199,24.20382166,-15.20741796,70.72560872,-0.015308254,0.347582042,1.26679E+12
2023-08-03T18:00:00-04:00,1.09489,1.09502,1.09474,1.09501,1.094379657,1.094702637,25.10288066,1,62.72781599,84.59770115,0.516970025,76.55449277,0.012807442,0.081392669,1.26638E+12
2023-08-03T18:15:00-04:00,1.09501,1.09513,1.09496,1.09512,1.094379657,1.094655936,18.01801802,1,57.12230471,114.16122,38.4840063,79.18806508,0.048307659,0.158162519,1.26597E+12
2023-08-03T18:30:00-04:00,1.09512,1.09522,1.09512,1.09516,1.094379657,1.094762102,12.5,1,51.84218726,130.8117618,72.79197867,76.33769144,0.079309218,-0.091940047,1.26556E+12
2023-08-03T18:45:00-04:00,1.09516,1.0952,1.0951,1.09518,1.094379657,1.094797892,23.31606218,1,53.64119833,120.9229282,94.93948657,76.52442767,0.09726343,-0.148243309,1.26516E+12
2023-08-03T19:00:00-04:00,1.09518,1.09523,1.09504,1.09512,1.09438589,1.094831103,11.60220994,1,53.37455292,103.8176115,110.8622445,38.91587421,0.108293808,-0.183605203,1.26475E+12
2023-08-03T19:15:00-04:00,1.09512,1.09529,1.09508,1.09528,1.09438589,1.094909993,90.24390244,1,50.3640422,115.7581108,117.0943265,63.37033887,0.118802971,-0.249071443,1.26434E+12
2023-08-03T19:30:00-04:00,1.09528,1.09534,1.09516,1.0952,1.09438589,1.094979993,62.16216216,1,47.26291742,106.451835,115.5524495,42.19786144,0.116916836,-0.373576419,1.26393E+12
2023-08-03T19:45:00-04:00,1.0952,1.09524,1.09505,1.09509,1.094410007,1.094996994,37.5,1,47.0128022,77.57726613,104.9055503,31.97983201,0.116567642,-0.520342358,1.26352E+12
2023-08-03T20:00:00-04:00,1.09509,1.09524,1.09468,1.09481,1.094410007,1.094996994,-8.163265306,1,49.28539946,27.03430242,86.12782517,16.00744154,0.098472503,-0.629713585,1.26312E+12
2023-08-03T20:15:00-04:00,1.09481,1.09509,1.09465,1.09498,1.094410007,1.094996994,-2.912621359,1,49.44262922,19.22563418,69.20942971,64.2602359,0.08270251,-0.568488233,1.26271E+12
2023-08-03T20:30:00-04:00,1.09498,1.09533,1.09486,1.09519,1.094410007,1.094996994,6.194690265,1,47.47009299,72.07609965,60.47302748,74.50174358,0.08570957,0,1.2623E+12
2023-08-03T20:45:00-04:00,1.09519,1.09555,1.095,1.09553,1.094410007,1.09515119,25.87412587,1,48.09642656,131.0940051,65.4014615,83.92431574,0.088158169,0,1.26189E+12
2023-08-03T21:00:00-04:00,1.09553,1.09589,1.09539,1.09552,1.094410007,1.095481071,23.94366197,1,41.13363491,177.021482,85.29030468,50.46495967,0.08854844,0,1.26149E+12
2023-08-03T21:15:00-04:00,1.09552,1.09584,1.0955,1.09579,1.094410007,1.095487964,41.10429448,1,46.9425812,177.9004073,115.4635257,73.87912846,0.096976077,0,1.26108E+12
2023-08-03T21:30:00-04:00,1.09579,1.09616,1.09563,1.096,1.094440007,1.095745167,42.85714286,1,41.62896639,201.4204772,151.9024943,77.78632551,0.109935797,0,1.26067E+12
2023-08-03T21:45:00-04:00,1.096,1.09601,1.09544,1.09567,1.094693006,1.095745167,24.35233161,1,44.83530251,132.47148,163.9815703,31.65360727,0.11022853,0,1.26026E+12
2023-08-03T22:00:00-04:00,1.09567,1.09611,1.09525,1.09548,1.094714705,1.095745167,19.40298507,1,50.26797192,99.24116671,157.6110026,29.06128421,0.101440259,0,1.25985E+12
2023-08-03T22:15:00-04:00,1.09548,1.09591,1.0954,1.09564,1.095022235,1.095745167,43.91534392,1,52.90446345,94.56124766,141.1189558,62.93612333,0.099376212,0,1.25945E+12
2023-08-03T22:30:00-04:00,1.09564,1.09589,1.09555,1.09575,1.095032011,1.095745167,42.07650273,1,53.82496989,98.86485658,125.3118456,67.85984796,0.104138562,0,1.25904E+12
2023-08-03T22:45:00-04:00,1.09575,1.09582,1.09542,1.09556,1.09504881,1.095745167,20.44198895,1,54.95973403,60.88659427,97.20506904,34.37960683,0.102694152,0,1.25863E+12
2023-08-03T23:00:00-04:00,1.09556,1.09601,1.09543,1.0959,1.095052036,1.095745167,20.44198895,1,57.24309449,92.31250245,89.17327353,70.36604153,0.109764955,0,1.25822E+12
2023-08-03T23:15:00-04:00,1.0959,1.09597,1.09568,1.09575,1.095052036,1.095745167,11.79487179,1,57.79306522,86.95485111,86.71601041,39.87084832,0.109696715,0,1.25781E+12
2023-08-03T23:30:00-04:00,1.09575,1.09584,1.09547,1.09549,1.095064833,1.095745167,-15.46391753,1,56.74120214,36.62486016,75.12873291,25.60113881,0.100152713,0,1.25741E+12
2023-08-03T23:45:00-04:00,1.09549,1.09554,1.09536,1.09542,1.095080349,1.095743119,-32.22222222,1,60.92699269,-4.608007968,54.43416,28.31544007,0.086439578,0,1.257E+12
2023-08-04T00:00:00-04:00,1.09542,1.09554,1.09525,1.09526,1.095113285,1.095743119,-25.15337423,1,64.17881311,-31.17459075,36.021923,20.11474266,0.061423973,0,1.25659E+12
2023-08-04T00:15:00-04:00,1.09526,1.09532,1.09505,1.09516,1.095113285,1.095743119,-20.77922078,1,64.1284665,-75.22362323,2.514697863,19.851314,0.027732969,0,1.25618E+12
2023-08-04T00:30:00-04:00,1.09516,1.09538,1.09506,1.09508,1.095113285,1.095743119,-38.35616438,1,62.98012655,-74.35782842,-29.74783804,18.50256839,0.000858364,0,1.25577E+12
2023-08-04T00:45:00-04:00,1.09508,1.09522,1.09493,1.09502,1.095304327,1.095743119,-51.77304965,1,58.76506474,-101.7574766,-57.4243054,18.09116535,-0.026761442,0,1.25537E+12
2023-08-04T01:00:00-04:00,1.09502,1.09524,1.09478,1.09517,1.095162894,1.095743119,-28.46715328,1,55.34311711,-105.3634867,-77.57540114,67.48491008,-0.052003765,0,1.25496E+12
2023-08-04T01:15:00-04:00,1.09517,1.09564,1.09517,1.09543,1.095162894,1.095743119,-36.43410853,1,54.6759816,-23.52483717,-76.04545043,80.63676988,-0.06067127,0,1.25455E+12
2023-08-04T01:30:00-04:00,1.09543,1.09563,1.09531,1.09549,1.095162894,1.095743119,-21.66666667,1,53.81708253,-11.09253509,-63.2192328,75.72428369,-0.058402537,0,1.25414E+12
2023-08-04T01:45:00-04:00,1.09549,1.09583,1.09505,1.09521,1.095162894,1.095743119,-22.95081967,1,55.77559037,-47.27755644,-57.8031784,29.60908669,-0.070932107,0,1.25373E+12
2023-08-04T02:00:00-04:00,1.09521,1.09583,1.09513,1.09533,1.095162894,1.095719226,-7.086614173,1,58.23877408,-23.35727587,-42.12313825,57.57845372,-0.074932659,0,1.25333E+12
2023-08-04T02:15:00-04:00,1.09533,1.09564,1.09508,1.09527,1.095162894,1.095719226,0.854700855,1,59.2841457,-50.07443497,-31.06532791,40.74546863,-0.071002484,0,1.25292E+12
2023-08-04T02:30:00-04:00,1.09527,1.09528,1.09477,1.09489,1.095162894,1.095635673,-18.62068966,1,59.7660004,-149.9726327,-56.35488702,18.42002962,-0.082750734,0,1.25251E+12
2023-08-04T02:45:00-04:00,1.09489,1.09503,1.09461,1.09482,1.095072476,1.095635673,-18.05555556,1,59.66884259,-172.052708,-88.54692161,24.06812234,-0.089888904,0,1.2521E+12
2023-08-04T03:00:00-04:00,1.09482,1.09526,1.09441,1.09502,1.094911229,1.095627106,0,1,57.17046118,-129.7955919,-105.0505287,66.06968326,-0.084150194,0,1.25169E+12
2023-08-04T03:15:00-04:00,1.09502,1.09508,1.09461,1.09488,1.094908106,1.095618395,-18.47133758,1,58.84457537,-122.1573312,-124.8105398,37.95721292,-0.081267027,0,1.25129E+12
2023-08-04T03:30:00-04:00,1.09488,1.09542,1.09487,1.09489,1.094908106,1.095585556,-40.90909091,1,60.28510011,-60.36036036,-126.8677249,52.09696687,-0.075213714,0,1.25088E+12
2023-08-04T03:45:00-04:00,1.09489,1.09497,1.09458,1.09475,1.094901966,1.095416,-52.85714286,1,60.93192637,-123.3766234,-121.548523,30.57527917,-0.075966063,0,1.25047E+12
2023-08-04T04:00:00-04:00,1.09475,1.09523,1.09445,1.09498,1.094901966,1.0953784,-17.03703704,1,63.31392171,-85.12778311,-104.163538,67.5365098,-0.071619484,0,1.25006E+12
2023-08-04T04:15:00-04:00,1.09498,1.09525,1.09467,1.09478,1.094901966,1.09536756,-38.46153846,1,64.74213135,-75.22388059,-93.24919573,31.62501486,-0.073099011,0,1.24965E+12
2023-08-04T04:30:00-04:00,1.09478,1.0949,1.09381,1.09395,1.094393023,1.095367524,-60,1,54.31609921,-239.0912869,-116.6359869,13.53562593,-0.100262911,0,1.24925E+12
2023-08-04T04:45:00-04:00,1.09395,1.09429,1.09376,1.09402,1.094337721,1.095367524,-46.03174603,1,53.6570668,-238.8919088,-152.3422965,49.41615246,-0.128679919,0,1.24884E+12
2023-08-04T05:00:00-04:00,1.09402,1.09423,1.09379,1.09419,1.094323949,1.095338034,-31.65829146,1,54.18642095,-189.2498608,-165.516944,62.68175557,-0.147784692,0,1.24843E+12
2023-08-04T05:15:00-04:00,1.09419,1.09437,1.09413,1.09423,1.094291554,1.095338034,-43.16939891,1,51.74382707,-131.6991829,-174.831224,60.8650814,-0.153219188,0,1.24802E+12
2023-08-04T05:30:00-04:00,1.09423,1.09428,1.09351,1.09422,1.094065398,1.095338034,-38.82352941,1,50.98677303,-149.1017787,-189.6068036,36.17373368,-0.159364749,0,1.24761E+12
2023-08-04T05:45:00-04:00,1.09422,1.09459,1.09398,1.09445,1.094065398,1.095338034,-22.91666667,1,55.34865636,-78.18361854,-157.4252699,67.30921186,-0.158370813,0,1.24721E+12
2023-08-04T06:00:00-04:00,1.09445,1.09463,1.09399,1.09411,1.094065398,1.095309231,-30.18867925,1,55.9425204,-82.59936543,-126.1667613,26.09010354,-0.15896051,0,1.2468E+12
2023-08-04T06:15:00-04:00,1.09411,1.09459,1.09392,1.09452,1.094065398,1.095303308,-20,1,57.05905133,-58.42033112,-100.0008553,72.73041608,-0.143193188,0,1.24639E+12
2023-08-04T06:30:00-04:00,1.09452,1.09487,1.09413,1.09462,1.094065398,1.095056977,-7.272727273,1,56.57182603,-21.15290327,-77.89159941,68.39613035,-0.125365504,0,1.24598E+12
2023-08-04T06:45:00-04:00,1.09462,1.0948,1.09391,1.09444,1.094065398,1.094888446,31.61290323,1,58.39936432,-41.41906873,-56.35505742,34.3126727,-0.115043259,0,1.24557E+12
2023-08-04T07:00:00-04:00,1.09444,1.09448,1.09402,1.09409,1.094065398,1.094888446,3.825136612,1,61.5473519,-68.28246274,-54.37482626,19.69628392,-0.113141486,0,1.24517E+12
2023-08-04T07:15:00-04:00,1.09409,1.09456,1.09392,1.09412,1.094065398,1.094888446,-4.142011834,1,62.60527427,-61.86136426,-50.22722602,50.78418745,-0.09577598,0,1.24476E+12
2023-08-04T07:30:00-04:00,1.09412,1.09453,1.0941,1.0943,1.094065398,1.094864602,3.825136612,1,61.11577185,-34.42028985,-45.42721777,68.98938924,-0.081161624,0,1.24435E+12
2023-08-04T07:45:00-04:00,1.0943,1.0944,1.09376,1.09378,1.094070859,1.094859141,-18.8034188,1,69.88521787,-100.3377295,-61.26418301,19.8604195,-0.086616707,0,1.24394E+12
2023-08-04T08:00:00-04:00,1.09378,1.09476,1.09348,1.09452,1.094078773,1.094681227,2.456140351,1,70.69555156,-34.45111778,-59.87059282,74.02005099,-0.054739814,0,1.24353E+12
2023-08-04T08:15:00-04:00,1.09452,1.09538,1.09447,1.09488,1.094088895,1.094689572,26.82926829,1,60.42276484,127.4267851,-20.72874325,79.06297115,-0.016164072,0,1.24313E+12
