time,open,high,low,close,Plot,Plot,Basis,Upper,Lower,ATR,Plot,Plot,Bollinger Bands %B,Bollinger Bands Width,BBPower,MF,Chaikin Oscillator
2023-05-11T08:15:00-04:00,1.09321,1.09363,1.09259,1.09308,1.092547191,1.093012555,1.0928545,1.09360156,1.09210744,0.000820351,-0.001298676,-0.125,0.650924912,0.001367172,0.000154907,0.102232498,3536.180835
2023-05-11T08:30:00-04:00,1.09308,1.0948,1.09308,1.09365,1.092547191,1.093872269,1.0928745,1.093681828,1.092067172,0.000884611,-0.001011353,0.331395349,0.980287879,0.00147744,0.001638491,0.033413958,1863.974136
2023-05-11T08:45:00-04:00,1.09365,1.09432,1.09312,1.09327,1.092547191,1.093872269,1.092888,1.093712126,1.092063874,0.000907139,-0.000803529,-0.316666667,0.731760621,0.001508162,0.00115585,0.025579495,-474.5967076
2023-05-11T09:00:00-04:00,1.09327,1.09332,1.09209,1.09254,1.092559472,1.093872269,1.092877,1.093713447,1.092040553,0.000930201,-0.000696382,-0.593495935,0.298552747,0.001530725,-0.000702129,-0.000183193,-2058.346942
2023-05-11T09:15:00-04:00,1.09254,1.09254,1.09125,1.09184,1.092263216,1.093872269,1.0928045,1.093731635,1.091877365,0.000955901,-0.000769529,-0.542635659,-0.020150883,0.001696799,-0.001974682,-0.045702097,-2708.095184
2023-05-11T09:30:00-04:00,1.09184,1.09202,1.09083,1.09089,1.091860894,1.093872269,1.0926875,1.093912928,1.091462072,0.000972622,-0.000925353,-0.798319328,-0.233416928,0.002242962,-0.002345442,-0.155726035,-5069.122576
2023-05-11T09:45:00-04:00,1.09089,1.09096,1.09006,1.09015,1.091077805,1.093872269,1.092553,1.09419995,1.09090605,0.000967435,-0.001396941,-0.822222222,-0.229530386,0.003014865,-0.003476093,-0.176560753,-7542.568094
2023-05-11T10:00:00-04:00,1.09015,1.09095,1.08999,1.09091,1.091002024,1.093872269,1.092457,1.094245889,1.090668111,0.000966904,-0.001825471,0.791666667,0.067608732,0.003274983,-0.003173794,-0.085049266,-5911.077494
2023-05-11T10:15:00-04:00,1.09091,1.09114,1.09028,1.09089,1.090986822,1.093872269,1.092355,1.094253647,1.090456353,0.000959268,-0.002010353,-0.023255814,0.11419893,0.003476245,-0.002360395,-0.066666762,-3933.496599
2023-05-11T10:30:00-04:00,1.09089,1.09185,1.09076,1.09155,1.090986822,1.093872269,1.092296,1.094217566,1.090374434,0.000968606,-0.001943794,0.605504587,0.305887492,0.003518398,-0.001073195,-0.043969043,-2013.525741
2023-05-11T10:45:00-04:00,1.09155,1.0921,1.09139,1.09173,1.090966526,1.093845042,1.0922445,1.094168771,1.090320229,0.000950134,-0.001723029,0.253521127,0.366313011,0.003523517,-0.00016131,-0.047541799,-1133.794606
2023-05-11T11:00:00-04:00,1.09173,1.09198,1.09124,1.09158,1.090942873,1.093823474,1.0922125,1.0941585,1.0902665,0.000935124,-0.001386118,-0.202702703,0.337487132,0.003563409,-0.000361123,-0.034651353,-800.8053322
2023-05-11T11:15:00-04:00,1.09158,1.092,1.09153,1.09174,1.090894586,1.093823474,1.0921995,1.094154458,1.090244542,0.000901901,-0.001056529,0.340425532,0.382478266,0.003579854,-3.6677E-05,-0.018297187,-703.9579781
2023-05-11T11:30:00-04:00,1.09174,1.09177,1.09093,1.09108,1.090888127,1.093823474,1.092133,1.094144458,1.090121542,0.00089748,-0.000880147,-0.785714286,0.238249591,0.003683541,-0.000665723,-0.055727703,-1220.933335
2023-05-11T11:45:00-04:00,1.09108,1.09171,1.091,1.09155,1.090869314,1.093823474,1.092098,1.094124402,1.090071598,0.000884088,-0.000825441,0.661971831,0.364784956,0.003711025,-0.000617763,-0.026021758,-758.6508255
2023-05-11T12:00:00-04:00,1.09155,1.0924,1.09154,1.09239,1.090867383,1.093823474,1.092071,1.094066494,1.090075506,0.000882368,-0.000746176,0.976744186,0.579930086,0.003654513,0.000404775,-0.051787862,442.0355406
2023-05-11T12:15:00-04:00,1.09239,1.09284,1.09223,1.0927,1.090840645,1.093823474,1.092037,1.093964123,1.090109877,0.000862913,-0.000535294,0.508196721,0.672018059,0.00352941,0.001268378,-0.06847827,1414.081352
2023-05-11T12:30:00-04:00,1.0927,1.09288,1.09259,1.09275,1.090840645,1.093823474,1.0920325,1.093952509,1.090112491,0.00082199,-0.000341441,0.172413793,0.686848072,0.003516396,0.001425753,-0.048522384,1749.639719
