Date,Time,Session,Day,open,high,low,close,Basis,Upper,Lower,Plot,EUR Index (Average),USD Index (HLC),Accumulation/Distribution,Histogram,MACD,Signal1,RVI,Candlestick,RVI-based MA,SMI,SMI-based EMA,K,D,Signal,Currency div candle
01/05/2023,17:30,Sydney Session,Monday,1.09741,1.09758,1.09732,1.09736,1.0971285,1.097707819,1.096549181,1.097398958,16.63254562,68.06179608,-26577.48941,0.000172453,-0.00029002,-0.000462473,43.64103703,Bearish,45.87762176,49.87870759,49.38227153,86.63266367,87.29417737,No trade,divu
01/05/2023,17:45,Sydney Session,Monday,1.09736,1.0976,1.09733,1.09756,1.097169,1.097750065,1.096587935,1.097427825,16.63515714,68.05365771,-26370.60053,0.000171807,-0.000247714,-0.000419521,49.59464327,Bullish Marubozu,46.03770558,56.45279211,52.91753182,90.16162775,87.45156476,No trade,divu
01/05/2023,18:00,Sydney Session,Monday,1.09756,1.09765,1.09732,1.0975,1.0971975,1.097784761,1.096610239,1.097461967,16.63245624,68.04428011,-26337.05507,0.000162392,-0.000216531,-0.000378923,47.47664981,Bearish,46.225684,60.87238626,56.89495904,92.26353849,89.6859433,No trade,cond
01/05/2023,18:15,Sydney Session,Monday,1.0975,1.09751,1.09737,1.09745,1.097215,1.097810399,1.096619601,1.097478113,16.63016314,68.0415755,-26285.48364,0.000148241,-0.000193622,-0.000341863,45.54715386,Bearish,46.43878956,58.07569026,57.48532465,94.19554616,92.20690413,No trade,cond
01/05/2023,18:30,Sydney Session,Monday,1.09745,1.09757,1.09745,1.09749,1.097252,1.097818484,1.096685516,1.097482909,16.63312866,68.04389639,-26360.81698,0.00013727,-0.000170275,-0.000307545,47.82319657,Bullish,46.98032355,55.60414713,56.54473589,92.05289911,92.83732792,No trade,conu
01/05/2023,18:45,Sydney Session,Monday,1.09749,1.09752,1.09733,1.0974,1.0972625,1.097831776,1.096693224,1.097463071,16.63132787,68.04320117,-26430.81698,0.000120258,-0.000157223,-0.000277481,45.57912587,Bearish,47.53376111,48.47066278,52.50769934,88.47175075,91.57339867,No trade,cond
01/05/2023,19:00,Sydney-Tokyo Overlap,Monday,1.0974,1.09744,1.09712,1.09715,1.097257,1.097828388,1.096685612,1.097383184,16.63318953,68.04857989,-26796.44198,8.99E-05,-0.000165148,-0.000255014,42.47391367,Bearish Marubozu,48.06902018,26.20176483,39.35473208,58.91571925,79.81345637,No trade,conu
01/05/2023,19:15,Sydney-Tokyo Overlap,Monday,1.09715,1.09722,1.09692,1.09721,1.0972475,1.097815369,1.096679631,1.097300347,16.63328357,68.04911281,-26070.30864,7.23E-05,-0.000164689,-0.000236949,47.09884021,Bullish,48.54459555,9.292839376,24.32378573,34.25357916,60.54701638,No trade,conu
01/05/2023,19:30,Sydney-Tokyo Overlap,Monday,1.09721,1.09723,1.09694,1.097,1.09725,1.097813028,1.096686972,1.097194399,16.63721635,68.05558129,-26663.55002,4.62E-05,-0.000179204,-0.0002254,41.71996577,Bearish Marubozu,48.25273617,-16.05389226,4.134946734,6.528546193,33.23261487,No trade,conu
01/05/2023,19:45,Sydney-Tokyo Overlap,Monday,1.097,1.09701,1.09672,1.09689,1.0972475,1.097816424,1.096678576,1.097081412,16.63418806,68.05502522,-26531.13623,2.25E-05,-0.000197309,-0.000219782,35.68478929,Bearish,47.13445952,-36.04720539,-15.95612933,6.528546193,15.77022385,No trade,cond
01/05/2023,20:00,Sydney-Tokyo Overlap,Monday,1.09689,1.09785,1.09685,1.09778,1.0972945,1.097876169,1.096712831,1.097183756,16.62890814,68.03351773,-25210.17623,6.52E-05,-0.000138249,-0.000203475,46.43172857,Bullish Marubozu,46.38003921,-1.196809722,-8.576469526,33.33333333,15.46347524,No trade,cond
01/05/2023,20:15,Sydney-Tokyo Overlap,Monday,1.09778,1.09778,1.09741,1.09766,1.097341,1.097881995,1.096800005,1.097365091,16.62322626,68.03906121,-24767.47353,8.28E-05,-1.00E-04,-0.000182775,38.68891979,Bearish,45.5446577,25.55703216,8.490281317,62.52871555,34.13019836,No trade,divd
01/05/2023,20:30,Sydney-Tokyo Overlap,Monday,1.09766,1.09782,1.09753,1.09761,1.097393,1.097814241,1.096971759,1.097525198,16.6300174,68.05878266,-25251.16318,8.80E-05,-7.28E-05,-0.000160787,32.2937001,Bearish,43.82286147,40.0640791,24.27718021,89.97143142,61.94449343,Buy,conu
01/05/2023,20:45,Sydney-Tokyo Overlap,Monday,1.09761,1.09792,1.09747,1.0979,1.0974245,1.097895519,1.096953481,1.097665655,16.63628799,68.04597296,-24005.67429,0.000106543,-2.76E-05,-0.000134151,44.52425874,Bullish,43.46985161,58.8803883,41.57878425,89.97143142,80.82385946,No trade,divu
01/05/2023,21:00,Sydney-Tokyo Overlap,Monday,1.0979,1.09872,1.09784,1.09869,1.097492,1.098214844,1.096769156,1.097941798,16.63931192,68.01042588,-22362.87884,0.000164249,7.12E-05,-9.31E-05,58.15843693,Bullish Marubozu,44.50680875,76.84353079,59.21115752,94.10938253,91.35074846,No trade,divu
01/05/2023,21:15,Sydney-Tokyo Overlap,Monday,1.09869,1.09941,1.09857,1.09925,1.0975815,1.098634292,1.096528708,1.09837629,16.64208861,67.95860348,-21083.92646,0.000228394,0.000192404,-3.60E-05,70.20312049,Bullish Marubozu,45.97884283,84.04380062,71.62747907,100,94.69360465,No trade,divu
01/05/2023,21:30,Sydney-Tokyo Overlap,Monday,1.09925,1.09945,1.09905,1.09907,1.097656,1.098892647,1.096419353,1.09875351,16.64139559,67.93559665,-23478.82646,0.000245468,0.000270844,2.54E-05,51.33353748,Bearish,46.25433481,81.29907366,76.46327637,96.6041927,96.90452508,No trade,cond
01/05/2023,21:45,Sydney-Tokyo Overlap,Monday,1.09907,1.09913,1.09864,1.09879,1.09773,1.099049333,1.096410667,1.098916589,16.64334892,67.97528546,-24096.52033,0.000225201,0.000306877,8.17E-05,39.14688365,Bearish,45.79717265,72.10718809,74.28523223,88.19515338,94.93311536,No trade,conu
01/05/2023,22:00,Sydney-Tokyo Overlap,Monday,1.09879,1.09902,1.09875,1.09899,1.097808,1.099227797,1.096388203,1.09895724,16.64820268,67.97592403,-23247.187,0.000212711,0.000347566,0.000134854,51.66534623,Bullish Marubozu,46.07161191,68.5990516,71.44214191,81.77540843,88.8582515,No trade,conu
01/05/2023,22:15,Sydney-Tokyo Overlap,Monday,1.09899,1.09914,1.09866,1.09886,1.0978805,1.099358492,1.096402508,1.098928404,16.64573741,67.97282733,-23430.85367,0.000184207,0.000365113,0.000180906,43.30776393,Bearish,45.90937177,64.25051941,67.84633066,76.40159129,82.12405103,No trade,cond
01/05/2023,22:30,Sydney-Tokyo Overlap,Monday,1.09886,1.09891,1.09859,1.09867,1.097946,1.09944192,1.09645008,1.098857466,16.64504765,67.99428697,-23902.35367,0.00014291,0.000359543,0.000216633,36.89585752,Bearish,45.51093919,54.6561381,61.25123438,72.67089161,76.94929711,No trade,divd
01/05/2023,22:45,Sydney-Tokyo Overlap,Monday,1.09867,1.09893,1.09866,1.09884,1.09801,1.099543441,1.096476559,1.098817148,16.64228328,67.99091173,-23611.02033,0.000118408,0.000364643,0.000246235,44.97747627,Bullish,45.3594132,48.48929447,54.87026442,68.96504646,72.67917645,Sell,cond
